School Name,G Overall,W Overall,L Overall,W-L% Overall,SRS Overall,SOS Overall,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Georgetown,21,6,15,.286,-1.22,4.88,1,9,5,7,0,7,1519,1647,69.7,102.5,.315,.301,.520,50.3,45.6,8.1,12.6,.487,15.2,30.8,.221
Georgia,19,13,6,.684,6.22,1.22,3,3,10,1,1,4,1351,1256,68.3,104.0,.378,.370,.533,53.6,49.7,9.5,7.9,.488,17.0,34.3,.280


Georgia Southern,21,12,9,.571,-3.83,-2.11,5,3,8,4,3,5,1432,1370,66.9,101.3,.239,.340,.513,51.3,38.7,11.0,9.1,.493,14.5,29.4,.157
Georgia State,20,9,11,.450,-3.01,-1.24,2,6,9,5,0,6,1337,1285,67.3,98.7,.306,.325,.502,52.4,45.5,8.1,10.7,.463,16.4,33.3,.225
Georgia Tech,20,8,12,.400,2.28,5.59,1,9,7,5,1,5,1378,1411,68.3,100.2,.237,.354,.502,49.7,52.6,8.7,10.7,.476,14.5,30.7,.164
Gonzaga,21,17,4,.810,17.20,7.60,6,1,9,1,4,1,1817,1547,73.7,117.5,.303,.324,.598,53.9,50.4,10.5,8.6,.579,13.6,30.8,.209
Grambling,19,12,7,.632,-4.67,-4.85,5,2,6,0,5,6,1310,1223,70.1,98.4,.398,.281,.525,52.3,52.9,10.9,12.1,.496,19.4,32.5,.257
Grand Canyon,20,13,7,.650,6.20,1.76,4,3,10,2,2,3,1460,1272,65.9,109.4,.332,.415,.551,53.3,48.6,7.9,7.0,.517,15.4,33.8,.242
Green Bay,21,2,19,.095,-19.97,-2.07,1,9,2,6,0,11,1247,1623,66.4,89.5,.354,.394,.506,43.3,50.7,7.4,6.6,.465,20.1,22.0,.251
Hampton,20,4,16,.200,-15.08,-3.08,1,7,3,4,1,9,1367,1566,70.4,97.1,.363,.378,.490,46.4,47.2,6.3,9.4,.452,14.2,26.8,.244
Hartford,21,4,17,.190,-24.27,-7.71,4,6,0,9,1349,1502,67.3,95.5,.265,.396,.511,47.9,53.3,9.5,10.0,.488,18.0,26.6,.175
Harvard,20,12,8,.600,0.19,-2.20,3,3,5,3,6,4,1358,1293,67.6,99.2,.301,.387,.527,53.7,54.6,11.1,11.5,.504,18.0,31.0,.197
Hawaii,20,15,5,.750,4.22,-1.84,6,2,10,2,2,2,1363,1224,65.7,102.4,.336,.353,.533,52.3,46.2,7.7,9.6,.497,16.4,31.0,.242
High Point,20,10,10,.500,-8.90,-4.68,2,6,7,3,1,7,1544,1565,75.2,102.5,.428,.368,.535,49.3,44.4,8.8,11.7,.511,17.2,30.5,.265
Hofstra,21,13,8,.619,2.81,0.61,6,2,6,1,5,5,1528,1436,68.5,105.6,.228,.400,.566,47.4,49.8,9.2,10.3,.542,15.4,22.3,.170
Holy Cross,21,7,14,.333,-12.55,-4.92,4,4,5,5,2,7,1385,1482,68.4,95.9,.243,.329,.514,46.3,48.2,9.9,7.6,.495,16.3,22.7,.156
Houston,20,18,2,.900,25.46,3.76,6,1,11,2,5,0,1502,1068,64.7,116.1,.255,.355,.551,55.3,50.8,13.4,18.5,.528,12.7,38.2,.179
Houston Christian,20,7,13,.350,-16.79,-4.55,4,3,6,5,1,8,1574,1661,74.5,104.9,.338,.372,.568,50.1,54.8,8.7,6.9,.538,19.1,30.9,.243
Howard,22,12,10,.545,-7.03,-2.93,4,1,8,2,3,6,1616,1605,72.3,101.6,.341,.366,.553,50.6,54.5,11.1,8.6,.519,19.7,30.7,.247
Idaho,21,8,13,.381,-7.20,-4.10,2,6,5,5,3,8,1594,1505,68.1,110.8,.349,.385,.583,49.4,46.5,7.6,4.6,.550,14.9,23.9,.259
Idaho State,20,7,13,.350,-6.42,-2.59,4,3,5,4,2,8,1374,1394,66.7,101.0,.313,.439,.542,47.3,49.7,9.2,7.0,.508,15.8,23.0,.229
Illinois,20,14,6,.700,16.40,4.85,5,4,10,2,2,2,1517,1286,70.2,107.4,.323,.430,.549,54.0,50.5,10.4,14.8,.526,16.4,34.2,.215


Illinois State,21,8,13,.381,-6.04,-3.37,3,7,5,5,3,4,1376,1432,65.7,98.6,.323,.409,.540,51.8,46.1,8.9,10.4,.493,19.4,28.4,.259
Illinois-Chicago,22,9,13,.409,-7.99,-2.66,1,10,5,5,2,8,1466,1544,69.6,95.2,.360,.446,.517,45.1,55.7,9.7,12.2,.485,17.0,21.9,.241
Incarnate Word,20,8,12,.400,-16.07,-7.29,2,6,4,4,2,9,1414,1470,70.4,99.2,.321,.311,.528,48.6,49.1,12.3,6.8,.491,17.4,28.1,.234
Indiana,19,13,6,.684,16.44,5.07,4,4,10,1,2,4,1504,1288,70.7,112.0,.300,.294,.585,53.7,54.5,8.6,15.3,.564,15.6,29.6,.210
Indiana State,22,13,9,.591,3.09,-2.96,6,5,7,3,4,5,1705,1541,72.1,106.9,.296,.457,.575,50.3,53.7,9.8,5.0,.546,15.6,22.7,.219
Iona,19,13,6,.684,8.31,-0.69,6,2,6,1,2,3,1452,1281,70.0,108.4,.264,.320,.537,49.9,53.6,10.5,16.1,.508,13.0,31.3,.192
Iowa,19,12,7,.632,14.67,6.46,4,4,9,2,2,3,1553,1397,70.9,113.8,.340,.371,.554,51.6,58.7,9.1,9.0,.519,12.2,32.3,.250
Iowa State,19,15,4,.789,18.84,7.31,6,2,11,0,2,3,1350,1131,66.2,106.7,.266,.326,.542,52.0,57.8,14.6,12.4,.521,15.9,34.2,.180
IUPUI,21,3,18,.143,-20.92,-4.92,0,10,2,7,0,8,1314,1582,67.6,92.1,.285,.292,.514,48.5,46.1,8.7,7.0,.483,21.2,27.9,.203
Jackson State,20,6,14,.300,-11.67,-1.27,5,2,4,0,2,12,1320,1528,71.9,91.4,.281,.359,.484,50.1,50.4,10.7,7.7,.457,19.3,32.4,.185
Jacksonville,19,11,8,.579,-3.69,-0.69,4,4,7,1,4,7,1230,1162,62.8,103.1,.234,.396,.555,52.8,58.2,9.1,9.4,.530,17.3,26.3,.174
Jacksonville State,21,8,13,.381,-9.75,-1.75,1,7,6,3,1,9,1446,1488,66.0,103.7,.304,.431,.538,51.6,52.0,9.0,8.8,.511,16.6,30.0,.209
James Madison,21,13,8,.619,7.06,-2.00,4,4,6,2,5,5,1774,1417,73.5,112.3,.380,.358,.577,53.5,45.4,14.2,6.7,.548,16.1,34.4,.267
Kansas,20,16,4,.800,18.66,10.21,5,3,10,1,3,2,1518,1349,69.7,107.6,.288,.352,.555,51.7,61.2,12.6,11.2,.528,15.5,30.9,.207
Kansas City,21,8,13,.381,-5.44,-1.59,4,4,4,4,2,8,1394,1411,66.3,98.4,.334,.373,.497,52.9,43.9,9.7,11.6,.457,17.7,36.9,.236
Kansas State,20,17,3,.850,16.22,6.57,6,2,11,0,3,3,1556,1363,69.8,108.8,.369,.349,.567,51.1,65.5,10.9,8.2,.530,16.8,32.5,.273
Kennesaw State,21,15,6,.714,-1.60,-1.71,7,1,8,0,6,5,1569,1441,70.0,106.1,.342,.390,.558,50.4,55.7,12.1,8.5,.539,16.1,28.0,.220
Kent State,20,16,4,.800,8.81,-0.25,6,1,9,0,6,4,1505,1271,70.4,107.0,.282,.396,.545,49.0,45.4,13.7,10.1,.513,14.2,27.7,.210
Kentucky,20,14,6,.700,13.94,4.59,5,3,11,1,2,3,1514,1327,66.9,111.7,.292,.322,.541,56.1,58.0,10.1,11.6,.517,14.2,38.8,.199
La Salle,20,8,12,.400,-5.15,-0.05,2,5,5,6,3,4,1360,1462,68.8,97.0,.279,.350,.495,48.2,48.1,11.0,8.9,.463,15.8,29.3,.195


Lafayette,21,6,15,.286,-6.25,-2.29,4,4,2,4,3,11,1299,1382,62.7,96.4,.224,.511,.510,45.8,69.2,9.4,9.6,.492,15.7,22.3,.143
Lamar,20,6,14,.300,-18.21,-5.21,2,5,5,5,0,8,1360,1515,68.9,97.5,.323,.310,.504,50.4,54.5,9.5,10.0,.472,18.0,34.4,.219
Lehigh,19,11,8,.579,-7.97,-4.26,6,2,7,2,4,6,1360,1326,71.1,100.7,.270,.367,.550,49.4,52.2,9.5,6.9,.521,16.8,21.1,.199
Liberty,21,16,5,.762,8.30,-1.98,7,1,11,1,3,3,1570,1229,65.6,113.9,.250,.530,.595,52.2,67.8,10.2,6.9,.575,14.7,25.4,.181
Lindenwood,21,7,14,.333,-14.55,-4.16,2,6,5,3,2,9,1426,1504,69.6,96.4,.264,.359,.515,47.6,46.4,9.5,8.6,.484,17.0,24.7,.193
