School Name,G Overall,W Overall,L Overall,W-L% Overall,SRS Overall,SOS Overall,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Temple,21,12,9,.571,5.28,4.28,6,2,6,5,5,2,1441,1420,67.2,100.9,.358,.438,.535,49.9,55.9,6.9,10.2,.486,17.4,28.4,.279


Tennessee,19,16,3,.842,24.64,4.74,6,1,8,1,4,1,1411,1033,67.4,109.5,.321,.408,.548,55.6,66.9,14.1,14.3,.513,16.6,39.0,.237
Tennessee State,21,11,10,.524,-10.23,-8.17,3,5,9,3,1,6,1628,1563,72.3,107.1,.362,.413,.550,50.7,48.3,8.1,9.5,.514,15.0,28.3,.259
Tennessee Tech,21,9,12,.429,-9.28,-3.44,5,3,7,3,2,9,1514,1517,68.5,101.6,.244,.412,.529,48.7,55.0,9.5,6.2,.505,15.6,26.9,.170
Tennessee-Martin,21,13,8,.619,-7.30,-6.13,5,3,10,1,3,7,1723,1552,74.0,109.6,.325,.386,.560,52.0,49.6,11.2,8.8,.528,14.4,30.3,.236
Texas,20,17,3,.850,20.06,6.36,6,2,12,1,3,1,1610,1336,71.0,112.0,.309,.347,.573,51.6,56.4,11.3,11.6,.541,14.8,30.3,.232
Texas A&M,19,13,6,.684,11.35,2.93,5,1,9,1,3,2,1416,1256,68.1,109.4,.443,.354,.556,54.2,53.9,11.0,8.8,.507,16.2,36.5,.332
Texas A&M-Commerce,21,8,13,.381,-10.46,-6.20,5,4,5,2,4,10,1466,1506,67.4,101.7,.256,.482,.537,49.6,56.6,9.2,8.7,.517,16.9,27.3,.170
Texas A&M-Corpus Christi,20,11,9,.550,-4.78,-5.84,4,3,8,1,2,7,1587,1466,73.2,107.7,.296,.369,.546,51.7,55.9,12.9,5.1,.511,15.7,32.8,.225
Texas Southern,21,7,14,.333,-8.91,-0.23,3,5,4,4,2,9,1455,1534,71.9,94.1,.333,.274,.490,50.7,45.7,9.4,10.2,.462,17.5,30.9,.210
Texas State,21,10,11,.476,-2.76,-0.92,3,5,2,7,6,3,1356,1362,65.9,98.0,.345,.265,.504,50.9,41.4,10.6,10.4,.466,15.7,30.0,.242
Texas Tech,19,10,9,.526,13.09,4.40,0,7,8,3,0,4,1428,1263,69.8,107.0,.367,.385,.567,52.8,52.9,11.7,9.6,.537,17.8,32.4,.257
Texas-Rio Grande Valley,20,10,10,.500,-8.34,-1.52,1,6,9,2,1,8,1615,1597,75.8,105.8,.479,.327,.574,52.6,56.4,6.5,9.3,.538,19.3,30.7,.334
The Citadel,20,8,12,.400,-10.84,-2.74,3,5,4,4,3,7,1378,1489,70.0,98.4,.296,.396,.529,46.8,49.8,7.7,7.8,.489,16.4,22.0,.228
Toledo,21,15,6,.714,5.09,-0.92,5,2,8,1,4,3,1790,1655,73.0,116.8,.347,.348,.586,50.4,50.2,9.8,7.8,.554,13.1,31.1,.258
Towson,21,14,7,.667,-0.98,-5.02,6,2,5,2,7,3,1442,1357,64.3,105.5,.309,.337,.528,53.6,54.9,10.0,10.1,.496,16.1,35.4,.217
Troy,21,13,8,.619,3.01,-1.21,5,3,7,2,5,5,1566,1359,70.2,105.6,.312,.420,.543,50.7,54.7,12.5,8.5,.512,16.3,31.2,.222
Tulane,19,12,7,.632,7.10,1.04,5,3,8,2,2,2,1531,1416,73.9,108.4,.356,.382,.573,46.3,55.9,11.7,10.4,.525,13.3,19.3,.290
Tulsa,19,5,14,.263,-5.01,1.73,1,7,4,5,0,7,1317,1445,69.9,97.8,.234,.423,.518,46.2,48.3,8.4,4.7,.500,16.9,26.2,.153
UAB,21,13,8,.619,8.52,0.22,4,5,10,2,1,4,1754,1531,73.1,111.6,.387,.308,.550,54.3,53.8,11.3,11.1,.507,15.2,37.7,.288
UC Davis,20,12,8,.600,0.15,-1.12,5,3,6,3,3,5,1513,1415,71.6,105.1,.416,.343,.544,54.4,50.4,9.4,7.5,.512,18.1,36.8,.280


UC Irvine,19,13,6,.684,6.18,1.12,6,1,6,3,5,3,1468,1274,70.8,109.1,.291,.312,.561,53.9,50.9,10.0,6.8,.539,15.4,31.2,.199
UC Riverside,21,14,7,.667,0.74,0.49,7,2,5,3,6,4,1516,1435,68.0,104.8,.255,.379,.534,54.3,50.9,6.5,4.3,.508,15.9,31.8,.183
UC San Diego,20,7,13,.350,-7.30,0.31,2,6,3,6,4,6,1352,1448,66.5,98.5,.275,.378,.519,47.7,47.4,9.0,6.1,.486,15.8,25.5,.201
UC Santa Barbara,19,16,3,.842,4.57,-4.02,7,1,8,1,6,2,1350,1175,65.9,107.1,.341,.305,.574,54.2,54.4,11.2,7.7,.545,17.6,30.1,.243
UCLA,20,17,3,.850,22.95,7.40,8,1,11,0,5,1,1507,1196,67.7,111.2,.236,.277,.540,52.5,50.9,13.1,12.7,.516,12.5,34.4,.169
UNC Asheville,21,15,6,.714,-3.19,-3.64,7,1,8,0,6,5,1552,1451,70.6,102.8,.394,.381,.568,50.1,49.9,9.1,11.6,.542,18.9,25.9,.264
UNC Greensboro,21,13,8,.619,1.02,-1.14,7,1,7,2,5,4,1488,1342,68.1,103.4,.335,.391,.537,51.7,60.2,10.5,7.7,.500,15.5,28.8,.244
UNC Wilmington,22,16,6,.727,-0.31,-2.56,6,3,7,2,6,4,1525,1384,65.1,106.4,.391,.352,.541,52.0,46.3,9.9,9.0,.501,15.1,31.8,.280
UT Arlington,21,7,14,.333,-6.26,2.08,2,6,4,5,2,6,1391,1400,67.5,98.0,.344,.327,.486,53.1,53.9,9.5,9.3,.452,16.5,37.1,.226
Utah,21,14,7,.667,13.88,2.88,7,3,11,2,3,3,1509,1308,67.4,106.0,.315,.345,.546,53.3,57.2,8.1,11.9,.517,16.1,31.6,.221
Utah State,20,16,4,.800,13.34,5.39,5,2,10,1,2,2,1612,1423,70.3,113.9,.353,.420,.607,53.3,63.2,6.7,9.4,.578,15.7,26.4,.262
Utah Tech,20,10,10,.500,-1.21,1.44,2,5,7,2,2,8,1513,1448,71.4,106.0,.438,.411,.564,53.2,53.5,9.7,6.5,.532,18.2,31.1,.299
Utah Valley,21,16,5,.762,6.58,0.86,7,1,8,1,7,3,1616,1414,70.9,106.7,.351,.352,.552,51.8,59.2,9.6,15.5,.514,15.7,29.7,.260
UTEP,20,11,9,.550,0.07,0.68,4,5,10,3,1,6,1393,1327,69.2,97.1,.407,.311,.520,51.9,49.9,13.0,8.2,.496,19.0,31.9,.248
UTSA,21,7,14,.333,-9.61,-0.24,1,9,7,7,0,7,1431,1575,68.7,97.9,.353,.404,.514,48.4,47.5,5.5,6.3,.470,17.3,28.8,.261
Valparaiso,21,9,12,.429,-8.01,-2.36,3,7,6,4,2,7,1440,1517,69.2,97.9,.290,.347,.525,49.0,50.9,8.8,6.0,.495,16.4,22.9,.205
Vanderbilt,20,10,10,.500,8.08,6.48,3,4,7,5,2,3,1443,1411,67.4,105.7,.312,.411,.528,51.4,46.7,7.5,12.8,.495,14.5,31.8,.225
Vermont,20,10,10,.500,-1.69,-0.48,4,2,5,1,4,6,1375,1360,66.0,102.6,.275,.419,.544,48.4,49.5,8.4,7.4,.520,14.6,20.3,.190
Villanova,20,10,10,.500,8.44,6.14,4,5,6,2,3,5,1414,1368,65.4,107.4,.317,.481,.565,48.9,47.3,9.0,4.0,.518,14.5,23.4,.264
Virginia,18,15,3,.833,15.72,5.67,7,2,9,1,4,2,1266,1085,63.1,111.5,.379,.395,.566,50.6,67.4,10.7,14.9,.533,12.8,25.8,.269


Virginia Commonwealth,20,15,5,.750,7.96,0.61,6,1,11,1,3,3,1429,1282,70.1,101.9,.450,.351,.562,49.0,52.4,13.5,12.8,.522,19.3,27.7,.320
VMI,21,5,16,.238,-14.28,-2.89,0,8,5,4,0,10,1504,1578,68.1,104.4,.211,.452,.545,51.6,47.8,8.6,4.4,.520,17.2,31.2,.161
Virginia Tech,20,12,8,.600,11.40,4.65,2,7,9,2,0,6,1457,1322,66.7,108.6,.242,.379,.556,50.9,53.8,7.7,9.3,.530,13.4,26.6,.179
Wagner,18,11,7,.611,-9.34,-8.72,4,3,6,2,5,5,1169,1115,64.7,99.7,.243,.375,.490,53.2,53.8,11.3,6.0,.465,15.2,34.5,.163
Wake Forest,20,14,6,.700,9.10,4.05,6,3,10,1,3,3,1547,1446,70.0,109.2,.342,.428,.579,50.8,48.4,9.4,7.2,.547,15.7,26.4,.252
Washington,21,12,9,.571,7.30,7.02,4,6,9,4,1,5,1467,1461,69.3,99.7,.304,.364,.530,47.9,47.2,10.3,15.2,.493,17.4,27.4,.228
Washington State,21,9,12,.429,10.91,8.01,4,6,6,2,2,6,1429,1368,64.3,105.2,.285,.426,.537,52.3,47.9,7.4,7.1,.508,16.8,32.9,.204
Weber State,20,10,10,.500,-3.07,-0.35,5,2,6,2,3,6,1323,1332,67.0,98.7,.346,.392,.552,49.8,48.9,8.7,4.7,.506,18.4,20.9,.274
West Virginia,19,11,8,.579,15.31,7.47,1,6,8,3,1,4,1463,1314,70.0,109.3,.410,.342,.560,52.6,50.5,9.0,8.2,.526,15.5,33.6,.286
Western Carolina,21,11,10,.524,-6.61,-3.99,4,4,6,3,3,7,1577,1446,69.1,107.4,.328,.447,.540,52.7,50.6,8.4,6.8,.506,14.0,29.7,.235
Western Illinois,20,12,8,.600,-5.75,-4.05,5,4,9,2,3,6,1500,1432,70.5,106.3,.371,.375,.557,50.4,53.3,8.7,9.3,.521,14.9,26.2,.269
Western Kentucky,20,11,9,.550,-0.99,-0.99,3,6,5,4,4,4,1468,1384,68.7,106.2,.304,.377,.551,47.7,54.0,9.0,16.2,.522,14.2,24.7,.218
Western Michigan,20,6,14,.300,-7.72,0.16,2,5,5,3,1,10,1429,1462,66.9,106.8,.264,.399,.541,55.4,50.8,7.0,6.4,.513,16.3,35.3,.193
Wichita State,19,10,9,.526,4.25,1.98,3,4,6,4,3,3,1260,1217,66.9,98.4,.301,.382,.509,49.5,45.2,9.1,12.1,.475,15.3,28.1,.214
William & Mary,21,8,13,.381,-8.55,-0.34,3,5,7,4,1,9,1437,1483,66.5,102.9,.317,.352,.522,51.3,50.0,9.6,5.6,.496,15.9,32.0,.209
Winthrop,21,8,13,.381,-8.36,-2.10,3,5,6,3,1,9,1508,1558,68.5,104.9,.387,.457,.578,47.5,49.1,8.6,8.8,.541,19.4,27.6,.287
Wisconsin,18,12,6,.667,10.63,7.13,4,4,7,2,2,3,1195,1132,63.8,101.9,.252,.414,.520,47.3,50.3,10.7,4.9,.499,12.4,21.6,.167
Wofford,21,11,10,.524,-3.96,-2.96,3,5,9,3,2,7,1557,1450,67.3,110.2,.272,.397,.562,53.0,46.7,8.8,5.6,.533,14.4,30.4,.203
Wright State,21,11,10,.524,-3.51,-4.62,4,6,4,6,5,3,1670,1554,72.6,107.7,.230,.258,.567,52.2,48.3,9.0,7.4,.546,15.9,28.3,.166
Wyoming,20,6,14,.300,1.34,5.02,1,7,5,5,0,4,1402,1439,66.7,104.4,.327,.454,.554,49.2,46.8,7.1,6.3,.531,15.3,23.0,.219


Xavier,20,16,4,.800,16.12,7.37,8,1,11,1,4,1,1682,1507,74.3,113.2,.330,.295,.588,54.7,68.2,9.6,9.7,.560,15.7,31.9,.240
Yale,19,13,6,.684,5.58,-2.89,3,3,7,1,4,5,1423,1167,67.5,110.3,.278,.370,.557,55.6,53.9,9.2,12.5,.535,15.0,31.9,.191
Youngstown State,21,15,6,.714,2.41,-5.91,7,3,7,2,7,4,1774,1536,70.6,118.3,.305,.353,.599,53.0,50.6,11.0,6.8,.566,14.5,33.3,.241
