School Name,G Overall,W Overall,L Overall,W-L% Overall,SRS Overall,SOS Overall,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp,Pace,Opp. ORtg,Opp. FTr,Opp. 3PAr,Opp. TS%,Opp. TRB%,Opp. AST%,Opp. STL%,Opp. BLK%,Opp. eFG%,Opp. TOV%,Opp. ORB%,Opp. FT/FGA
Stanford,20,8,12,.400,7.71,5.71,2,7,6,4,0,4,1362,1322,66.3,99.8,.286,.394,.543,47.0,51.5,9.5,8.2,.513,17.7,23.8,.208
Stephen F. Austin,21,14,7,.667,1.66,-1.29,6,2,9,2,4,2,1606,1405,71.1,93.5,.411,.383,.538,48.9,60.0,8.6,7.9,.502,24.0,31.4,.282
Stetson,19,11,8,.579,-2.03,-1.44,6,2,5,1,5,6,1459,1371,64.9,108.4,.272,.364,.545,50.0,53.0,7.6,7.2,.517,14.8,31.9,.197
Stonehill,23,9,14,.391,-12.86,-6.18,5,3,3,4,5,9,1541,1641,68.9,103.6,.287,.408,.534,54.7,54.5,10.4,9.8,.509,16.7,31.0,.197
Stony Brook,20,7,13,.350,-11.87,-2.70,3,4,5,4,2,8,1257,1360,64.7,105.0,.238,.452,.526,50.5,55.8,10.6,7.2,.503,12.4,25.4,.165
Syracuse,21,13,8,.619,7.57,2.38,6,4,9,4,3,3,1580,1471,68.3,101.3,.243,.458,.511,50.0,70.0,9.4,6.4,.487,16.4,33.1,.165
Tarleton State,20,10,10,.500,-2.35,2.59,3,4,8,0,0,9,1417,1354,69.0,98.0,.414,.426,.552,51.0,57.0,7.6,8.5,.515,22.3,30.3,.292
TCU,20,16,4,.800,17.82,4.37,5,3,10,2,2,2,1554,1285,71.6,89.7,.277,.332,.483,48.1,54.6,9.4,10.2,.454,20.3,31.4,.186
Temple,22,13,9,.591,5.27,4.18,7,2,7,5,5,2,1520,1496,67.3,99.3,.302,.325,.498,50.1,49.7,10.6,8.3,.468,14.6,30.5,.204


Tennessee,20,17,3,.850,25.15,4.80,7,1,9,1,4,1,1481,1074,67.5,79.0,.336,.420,.438,44.6,47.1,10.4,8.7,.385,21.8,28.2,.246
Tennessee State,21,11,10,.524,-10.33,-8.27,3,5,9,3,1,6,1628,1563,72.3,102.8,.372,.384,.553,49.3,51.5,8.2,7.5,.515,16.9,25.7,.270
Tennessee Tech,21,9,12,.429,-9.40,-3.57,5,3,7,3,2,9,1514,1517,68.5,101.8,.227,.416,.529,51.3,60.0,10.0,9.2,.502,16.5,29.2,.169
Tennessee-Martin,21,13,8,.619,-7.31,-6.13,5,3,10,1,3,7,1723,1552,74.0,98.7,.341,.387,.509,48.0,53.0,8.9,9.8,.475,16.2,28.4,.232
Texas,20,17,3,.850,20.05,6.35,6,2,12,1,3,1,1610,1336,71.0,93.0,.344,.374,.516,48.4,48.1,7.6,9.1,.479,20.5,27.5,.244
Texas A&M,20,14,6,.700,12.34,3.54,6,1,9,1,4,2,1495,1319,68.0,97.0,.383,.452,.518,45.8,59.6,10.4,9.5,.474,18.8,28.9,.278
Texas A&M-Commerce,21,8,13,.381,-10.48,-6.22,5,4,5,2,4,10,1466,1506,67.4,104.5,.379,.381,.557,50.4,51.5,9.6,7.8,.519,16.8,27.0,.277
Texas A&M-Corpus Christi,20,11,9,.550,-4.80,-5.86,4,3,8,1,2,7,1587,1466,73.2,99.5,.374,.440,.556,48.3,60.7,9.0,9.3,.534,20.5,27.6,.241
Texas Southern,21,7,14,.333,-9.04,-0.36,3,5,4,4,2,9,1455,1534,71.9,99.2,.326,.355,.524,49.3,49.2,10.3,7.9,.490,16.9,28.4,.230
Texas State,21,10,11,.476,-2.71,-0.88,3,5,2,7,6,3,1356,1362,65.9,98.4,.397,.340,.536,49.1,49.1,9.0,8.0,.497,18.3,26.2,.281
Texas Tech,20,10,10,.500,12.49,4.99,0,8,8,4,0,4,1489,1339,69.7,95.5,.283,.424,.515,47.9,53.3,10.5,11.1,.484,19.3,29.4,.202
Texas-Rio Grande Valley,21,10,11,.476,-8.71,-1.32,1,7,9,2,1,9,1681,1680,76.0,104.6,.354,.380,.543,47.7,65.5,10.6,9.8,.505,15.4,28.2,.260
The Citadel,21,9,12,.429,-10.22,-3.07,4,5,4,4,4,7,1459,1559,69.9,106.1,.343,.419,.537,52.8,52.4,10.6,10.4,.498,14.2,29.3,.252
Toledo,21,15,6,.714,5.04,-0.96,5,2,8,1,4,3,1790,1655,73.0,108.0,.282,.370,.554,49.6,50.4,8.2,8.5,.521,15.7,31.1,.216
Towson,21,14,7,.667,-0.93,-4.98,6,2,5,2,7,3,1442,1357,64.3,99.3,.269,.417,.522,46.4,55.1,9.0,6.8,.487,16.5,27.7,.203
Troy,21,13,8,.619,3.02,-1.20,5,3,7,2,5,5,1566,1359,70.2,91.6,.369,.355,.513,49.3,47.5,9.0,8.0,.465,21.1,28.8,.275
Tulane,20,13,7,.650,7.15,1.15,6,3,8,2,3,2,1626,1506,73.8,100.8,.273,.422,.535,53.9,63.0,7.1,13.5,.510,17.5,28.6,.190
Tulsa,19,5,14,.263,-5.04,1.70,1,7,4,5,0,7,1317,1445,69.9,107.4,.305,.377,.549,53.8,53.6,11.1,11.2,.515,15.8,33.1,.226
UAB,21,13,8,.619,8.50,0.20,4,5,10,2,1,4,1754,1531,73.1,97.4,.321,.359,.521,45.7,49.5,8.8,9.0,.487,18.2,28.8,.227
UC Davis,20,12,8,.600,0.16,-1.12,5,3,6,3,3,5,1513,1415,71.6,98.3,.320,.299,.530,45.6,43.2,9.5,8.8,.499,18.7,28.0,.223


UC Irvine,19,13,6,.684,6.22,1.16,6,1,6,3,5,3,1468,1274,70.8,94.7,.357,.354,.509,46.1,51.6,8.3,7.3,.468,17.0,24.1,.255
UC Riverside,21,14,7,.667,0.80,0.55,7,2,5,3,6,4,1516,1435,68.0,99.2,.345,.307,.525,45.7,45.3,9.0,8.3,.489,14.9,22.4,.245
UC San Diego,20,7,13,.350,-7.23,0.38,2,6,3,6,4,6,1352,1448,66.5,105.5,.254,.348,.538,52.3,56.7,8.7,9.6,.511,15.3,30.0,.183
UC Santa Barbara,19,16,3,.842,4.60,-3.99,7,1,8,1,6,2,1350,1175,65.9,93.3,.278,.314,.508,45.8,49.0,8.0,6.7,.477,18.3,24.3,.195
UCLA,20,17,3,.850,22.95,7.40,8,1,11,0,5,1,1507,1196,67.7,88.3,.253,.398,.496,47.5,52.6,7.6,6.2,.468,22.0,28.9,.174
UNC Asheville,22,16,6,.727,-3.34,-4.15,8,1,9,0,6,5,1640,1531,70.1,97.0,.267,.340,.502,50.0,46.5,10.6,11.0,.472,16.4,29.2,.188
UNC Greensboro,22,14,8,.636,0.87,-1.78,8,1,8,2,5,4,1550,1392,68.0,92.5,.295,.414,.492,48.8,47.0,8.2,7.0,.459,18.3,27.0,.205
UNC Wilmington,22,16,6,.727,-0.31,-2.56,6,3,7,2,6,4,1525,1384,65.1,96.6,.358,.366,.511,48.0,42.9,8.0,7.1,.474,17.7,28.1,.248
UT Arlington,22,7,15,.318,-6.18,2.13,2,7,4,6,2,6,1457,1474,67.5,99.3,.350,.377,.539,47.1,52.6,8.5,7.7,.508,18.8,28.1,.241
Utah,21,14,7,.667,13.84,2.84,7,3,11,2,3,3,1509,1308,67.4,91.9,.248,.365,.453,46.7,52.2,9.8,9.4,.425,13.6,28.7,.163
Utah State,21,16,5,.762,12.87,5.82,5,3,10,1,2,3,1687,1508,70.0,102.0,.290,.343,.530,47.0,49.7,8.0,6.8,.495,14.4,23.8,.217
Utah Tech,20,10,10,.500,-1.23,1.42,2,5,7,2,2,8,1513,1448,71.4,101.4,.320,.389,.563,46.8,52.8,9.5,9.9,.532,18.8,23.7,.233
Utah Valley,21,16,5,.762,6.53,0.81,7,1,8,1,7,3,1616,1414,70.9,93.3,.268,.340,.468,48.2,48.6,8.4,7.3,.441,15.1,29.8,.174
UTEP,20,11,9,.550,0.07,0.68,4,5,10,3,1,6,1393,1327,69.2,92.5,.354,.382,.521,48.1,44.4,10.8,7.9,.480,22.0,27.6,.257
UTSA,21,7,14,.333,-9.61,-0.24,1,9,7,7,0,7,1431,1575,68.7,107.8,.307,.371,.533,51.6,53.6,10.5,13.2,.503,13.2,32.0,.216
Valparaiso,22,9,13,.409,-8.27,-2.36,3,8,6,4,2,8,1506,1594,69.2,103.4,.322,.358,.544,50.9,49.6,10.1,6.8,.507,14.7,24.4,.240
Vanderbilt,20,10,10,.500,8.10,6.50,3,4,7,5,2,3,1443,1411,67.4,103.4,.311,.368,.523,48.6,50.9,8.5,8.1,.489,14.0,28.2,.223
Vermont,21,11,10,.524,-0.90,-1.00,5,2,5,1,5,6,1455,1415,65.8,100.9,.297,.350,.539,51.6,45.7,8.3,9.4,.511,15.5,23.0,.208
Villanova,20,10,10,.500,8.30,6.00,4,5,6,2,3,5,1414,1368,65.4,103.9,.265,.413,.545,51.1,59.5,9.0,10.1,.513,15.9,26.3,.202
Virginia,18,15,3,.833,15.65,5.59,7,2,9,1,4,2,1266,1085,63.1,95.6,.246,.397,.509,49.4,51.7,7.5,11.5,.476,17.2,26.0,.183


Virginia Commonwealth,21,16,5,.762,8.71,0.76,7,1,12,1,3,3,1501,1334,69.9,90.9,.306,.331,.506,50.6,49.8,11.4,9.0,.472,22.1,31.0,.215
VMI,22,5,17,.227,-14.08,-2.66,0,9,5,4,0,11,1554,1640,68.0,109.0,.284,.489,.563,48.0,59.6,9.7,12.8,.539,14.9,27.2,.201
Virginia Tech,20,12,8,.600,11.31,4.56,2,7,9,2,0,6,1457,1322,66.7,98.5,.242,.358,.504,49.1,46.7,8.3,9.3,.476,14.9,26.8,.173
Wagner,18,11,7,.611,-9.38,-8.75,4,3,6,2,5,5,1169,1115,64.7,95.1,.537,.358,.533,46.8,53.8,8.7,11.2,.478,19.6,23.6,.382
Wake Forest,21,14,7,.667,8.93,4.21,6,4,10,1,3,4,1626,1527,69.8,102.9,.280,.452,.546,49.3,50.5,9.3,10.0,.518,16.6,25.5,.201
Washington,21,12,9,.571,7.23,6.94,4,6,9,4,1,5,1467,1461,69.3,99.3,.256,.370,.500,52.1,58.6,9.8,11.1,.472,15.7,33.9,.176
Washington State,21,9,12,.429,10.85,7.95,4,6,6,2,2,6,1429,1368,64.3,100.7,.308,.311,.523,47.7,47.6,9.3,7.3,.497,14.9,27.2,.205
Weber State,20,10,10,.500,-3.10,-0.38,5,2,6,2,3,6,1323,1332,67.0,99.4,.317,.397,.543,50.2,58.6,9.1,9.9,.515,17.4,22.4,.221
West Virginia,20,12,8,.600,16.00,7.80,2,6,8,3,2,4,1539,1375,69.8,97.9,.415,.353,.537,46.9,50.1,8.9,6.7,.494,19.4,28.2,.298
Western Carolina,22,11,11,.500,-7.41,-4.35,4,5,6,4,3,7,1647,1527,69.0,99.4,.322,.280,.524,47.6,43.7,8.7,10.6,.489,15.1,23.8,.230
Western Illinois,20,12,8,.600,-5.75,-4.05,5,4,9,2,3,6,1500,1432,70.5,101.5,.262,.321,.528,49.6,36.2,7.8,7.6,.500,15.6,26.4,.189
Western Kentucky,20,11,9,.550,-0.99,-0.99,3,6,5,4,4,4,1468,1384,68.7,100.1,.254,.421,.513,52.3,50.0,7.5,6.9,.484,16.4,31.0,.183
Western Michigan,20,6,14,.300,-7.80,0.08,2,5,5,3,1,10,1429,1462,66.9,109.3,.295,.403,.557,44.6,54.2,9.3,8.1,.533,12.9,24.0,.204
Wichita State,20,10,10,.500,4.10,2.20,3,5,6,5,3,3,1350,1312,67.2,96.5,.252,.391,.486,50.0,55.6,9.6,8.5,.453,15.0,29.9,.182
William & Mary,21,8,13,.381,-8.57,-0.36,3,5,7,4,1,9,1437,1483,66.5,106.2,.275,.388,.548,48.7,51.4,9.5,14.8,.525,15.0,28.1,.191
Winthrop,22,9,13,.409,-7.77,-2.42,4,5,7,3,1,9,1584,1622,68.0,108.4,.281,.373,.547,52.6,51.7,11.7,14.6,.534,16.1,35.1,.174
Wisconsin,19,12,7,.632,9.76,7.39,4,5,7,2,2,4,1250,1205,63.5,98.0,.268,.360,.525,53.0,44.2,7.4,10.5,.499,16.8,25.0,.188
Wofford,22,12,10,.545,-3.51,-2.82,4,5,9,3,3,7,1642,1530,67.4,103.2,.227,.414,.547,47.3,45.6,8.2,9.8,.523,15.6,25.2,.166
Wright State,21,11,10,.524,-3.53,-4.64,4,6,4,6,5,3,1670,1554,72.6,100.2,.259,.385,.541,47.8,41.5,10.6,5.6,.516,17.2,25.0,.182
Wyoming,20,6,14,.300,1.30,4.98,1,7,5,5,0,4,1402,1439,66.7,107.1,.246,.405,.565,50.8,47.8,8.6,11.2,.535,15.2,24.2,.191


Xavier,21,17,4,.810,16.51,8.03,9,1,11,1,5,1,1764,1586,74.1,101.9,.276,.347,.533,45.7,54.5,10.5,8.7,.507,15.4,25.8,.192
Yale,19,13,6,.684,5.66,-2.81,3,3,7,1,4,5,1423,1167,67.5,90.5,.311,.386,.489,44.4,51.2,8.6,6.8,.457,16.9,22.4,.209
Youngstown State,21,15,6,.714,2.44,-5.88,7,3,7,2,7,4,1774,1536,70.6,102.4,.234,.338,.545,47.0,50.2,7.8,5.7,.526,17.2,28.2,.159
